event_id,grant_id,grant_name,event_date,event_type,from_state,to_state,stage_ordinal,detail,actor,amount,source_document
evt-0043,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2023-02-24,StageTransition,Drafting,Submitted,3,Application submitted to Federal Emergency Management Agency (FEMA),Deputy Village Manager,,grant-agreement
evt-0044,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2023-02-24,StageTransition,Submitted,UnderReview,4,Federal Emergency Management Agency (FEMA) technical review begins,Deputy Village Manager,,grant-agreement
evt-0036,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2023-03-22,DisbursementPaid,Active,Active,6,Construction — Fiber & Installation — Meade Electric Company,Deputy Village Manager,1080000,CMAQ-DR-2023-003
evt-0030,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2023-06-12,MilestoneCompleted,Active,Active,6,Corridor Construction Complete,Deputy Village Manager,,progress-report
evt-0039,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2023-06-12,ComplianceFiled,Active,Active,6,Davis-Bacon Act Wage Compliance filed,Deputy Village Manager,,compliance-record
evt-0045,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2023-08-10,StageTransition,UnderReview,Awarded,5,"Award notification: $318,000",Deputy Village Manager,318000,grant-agreement
evt-0046,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2023-09-01,StageTransition,Awarded,Active,6,Grant agreement executed — period of performance begins,Deputy Village Manager,,grant-agreement
evt-0048,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2023-09-01,MilestoneCompleted,Active,Active,6,Award & Agreement Executed,Deputy Village Manager,,progress-report
evt-0031,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2023-11-22,MilestoneCompleted,Active,Active,6,Before/After Performance Study,Deputy Village Manager,,progress-report
evt-0032,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2023-12-15,MilestoneCompleted,Active,Active,6,Final Inspection & Project Acceptance,Deputy Village Manager,,progress-report
evt-0038,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2023-12-15,ComplianceFiled,Active,Active,6,Quarterly Progress Reports filed,Deputy Village Manager,,compliance-record
evt-0025,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2023-12-20,StageTransition,Active,Closeout,7,Period of performance complete — final reporting begins,Deputy Village Manager,,closeout-record
evt-0049,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2024-01-20,MilestoneCompleted,Active,Active,6,SCBA Units Delivered & In Service,Deputy Village Manager,,progress-report
evt-0051,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2024-01-22,DisbursementPaid,Active,Active,6,SCBA Units Procurement — MSA Safety / Air Mask Service Co.,Deputy Village Manager,248000,AFG-DR-2024-001
evt-0040,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2024-02-10,ComplianceFiled,Active,Active,6,Single Audit (Uniform Guidance) filed,Deputy Village Manager,,compliance-record
evt-0052,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2024-03-15,DisbursementPaid,Active,Active,6,Spare Cylinders & Fit Testing — Air Mask Service Co.,Deputy Village Manager,52000,AFG-DR-2024-002
evt-0033,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2024-03-15,MilestoneCompleted,Active,Active,6,Final Report & SF-425 Closeout Accepted,Deputy Village Manager,,progress-report
evt-0041,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2024-03-15,ComplianceFiled,Active,Active,6,Final SF-425 Federal Financial Report filed,Deputy Village Manager,,compliance-record
evt-0050,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2024-03-28,MilestoneCompleted,Active,Active,6,Department-Wide Fit Testing & Training,Deputy Village Manager,,progress-report
evt-0026,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2024-03-28,StageTransition,Closeout,Closed,8,Final SF-425 accepted — grant reconciled and archived,Deputy Village Manager,,closeout-record
evt-0037,cmaq-lakecook-2021,Lake-Cook Road Signal Modernization — CMAQ,2024-03-28,DisbursementPaid,Active,Active,6,Closeout & Retention Release — Meade Electric Company,Deputy Village Manager,420000,CMAQ-DR-2024-004
evt-0053,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2024-04-01,ComplianceFiled,Active,Active,6,Equipment Inventory & Tagging filed,Deputy Village Manager,,compliance-record
evt-0054,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2024-04-01,ComplianceFiled,Active,Active,6,Federal Equipment Use Certification filed,Deputy Village Manager,,compliance-record
evt-0060,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2024-06-20,StageTransition,UnderReview,Awarded,5,"Award notification: $1,600,000",Sustainability Coordinator,1600000,grant-agreement
evt-0017,raise-aptakisic-2024,RAISE Aptakisic Road / IL-83 Reconstruction,2024-07-12,StageTransition,Drafting,Submitted,3,Application submitted to U.S. Department of Transportation (USDOT),Deputy Village Manager,,grant-agreement
evt-0018,raise-aptakisic-2024,RAISE Aptakisic Road / IL-83 Reconstruction,2024-07-12,StageTransition,Submitted,UnderReview,4,U.S. Department of Transportation (USDOT) technical review begins,Deputy Village Manager,,grant-agreement
evt-0055,epa-brownfields-2024,Former Industrial Parcel Brownfields Assessment — EPA,2024-07-29,StageTransition,Drafting,Submitted,3,Application submitted to U.S. Environmental Protection Agency (EPA),Deputy Village Manager,,grant-agreement
evt-0056,epa-brownfields-2024,Former Industrial Parcel Brownfields Assessment — EPA,2024-07-29,StageTransition,Submitted,UnderReview,4,U.S. Environmental Protection Agency (EPA) technical review begins,Deputy Village Manager,,grant-agreement
evt-0061,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2024-08-01,StageTransition,Awarded,Active,6,Grant agreement executed — period of performance begins,Sustainability Coordinator,,grant-agreement
evt-0062,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2024-08-01,MilestoneCompleted,Active,Active,6,Grant Agreement Executed,Sustainability Coordinator,,progress-report
evt-0001,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2024-10-01,StageTransition,UnderReview,Awarded,5,"Award notification: $5,500,000",Deputy Village Manager,5500000,grant-agreement
evt-0063,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2024-10-10,MilestoneCompleted,Active,Active,6,Photometric Design Complete,Sustainability Coordinator,,progress-report
evt-0065,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2024-10-15,DisbursementPaid,Active,Active,6,Design & Photometric Study — Clanton & Associates,Sustainability Coordinator,180000,EECBG-DR-2024-001
evt-0070,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2024-10-15,ComplianceFiled,Active,Active,6,Buy America(n) Compliance — Fixtures filed,Sustainability Coordinator,,compliance-record
evt-0002,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2024-10-15,StageTransition,Awarded,Active,6,Grant agreement executed — period of performance begins,Deputy Village Manager,,grant-agreement
evt-0003,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2024-10-15,MilestoneCompleted,Active,Active,6,Grant Agreement Executed,Deputy Village Manager,,progress-report
evt-0016,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2024-10-15,ComplianceFiled,Active,Active,6,Title VI Non-Discrimination Certification filed,Deputy Village Manager,,compliance-record
evt-0008,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2024-11-15,DisbursementPaid,Active,Active,6,Phase 1 Mobilization — Martam Construction Inc.,Deputy Village Manager,275000,SMC-DR-2024-001
evt-0004,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2024-11-22,MilestoneCompleted,Active,Active,6,Environmental Clearance (NEPA Categorical Exclusion),Deputy Village Manager,,progress-report
evt-0015,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2024-11-22,ComplianceFiled,Active,Active,6,NEPA Categorical Exclusion Compliance filed,Deputy Village Manager,,compliance-record
evt-0058,epa-brownfields-2024,Former Industrial Parcel Brownfields Assessment — EPA,2024-11-30,MilestoneCompleted,Active,Active,6,EPA Review,Deputy Village Manager,,progress-report
evt-0057,epa-brownfields-2024,Former Industrial Parcel Brownfields Assessment — EPA,2024-12-05,StageTransition,UnderReview,Declined,9,U.S. Environmental Protection Agency (EPA) did not select this application,Deputy Village Manager,,grant-agreement
evt-0059,epa-brownfields-2024,Former Industrial Parcel Brownfields Assessment — EPA,2024-12-05,MilestoneCompleted,Active,Active,6,Award Decision — Not Selected,Deputy Village Manager,,progress-report
evt-0005,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2025-02-28,MilestoneCompleted,Active,Active,6,Final Design Completion (100%),Deputy Village Manager,,progress-report
evt-0009,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2025-03-20,DisbursementPaid,Active,Active,6,Design Engineering (100%) — Baxter & Woodman Consulting Engineers,Deputy Village Manager,412500,SMC-DR-2024-002
evt-0006,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2025-04-10,MilestoneCompleted,Active,Active,6,Phase 1 Bid Award,Deputy Village Manager,,progress-report
evt-0064,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2025-04-25,MilestoneCompleted,Active,Active,6,Phase 1 Arterial Conversion Complete,Sustainability Coordinator,,progress-report
evt-0066,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2025-04-30,DisbursementPaid,Active,Active,6,Phase 1 — Arterial Fixtures — Aldridge Electric,Sustainability Coordinator,620000,EECBG-DR-2025-002
evt-0047,afg-scba-2023,Fire Dept SCBA Replacement — FEMA AFG,2025-06-01,StageTransition,Active,Closeout,7,Period of performance complete — final reporting begins,Deputy Village Manager,,closeout-record
evt-0019,fema-bric-2025,FEMA BRIC Buffalo Creek Resilience Project,2025-09-28,StageTransition,Drafting,Submitted,3,Application submitted to Federal Emergency Management Agency (FEMA),Emergency Management Coordinator,,grant-agreement
evt-0020,fema-bric-2025,FEMA BRIC Buffalo Creek Resilience Project,2025-09-28,StageTransition,Submitted,UnderReview,4,Federal Emergency Management Agency (FEMA) technical review begins,Emergency Management Coordinator,,grant-agreement
evt-0071,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2025-12-01,ComplianceFiled,Active,Active,6,Energy Savings M&V Plan filed,Sustainability Coordinator,,compliance-record
evt-0069,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2025-12-31,ComplianceFiled,Active,Active,6,Federal Financial Report (SF-425) filed,Sustainability Coordinator,,compliance-record
evt-0007,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2025-12-31,MilestoneCompleted,Active,Active,6,Phase 1 Construction Complete (Wetland),Deputy Village Manager,,progress-report
evt-0010,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2025-12-31,DisbursementPaid,Active,Active,6,Phase 1 Construction — Wetland Cells — Martam Construction Inc.,Deputy Village Manager,1100000,SMC-DR-2025-003
evt-0013,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2025-12-31,ComplianceFiled,Active,Active,6,Semi-Annual Financial Report (SF-425) filed,Deputy Village Manager,,compliance-record
evt-0068,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2026-04-01,ComplianceFiled,Active,Active,6,Quarterly Progress Reports filed,Sustainability Coordinator,,compliance-record
evt-0012,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2026-04-01,ComplianceFiled,Active,Active,6,Quarterly Progress Reports filed,Deputy Village Manager,,compliance-record
evt-0014,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2026-05-15,ComplianceFiled,Active,Active,6,Environmental Monitoring — Wetland Cell Establishment filed,Deputy Village Manager,,compliance-record
evt-0067,eecbg-streetlights-2024,LED Streetlight Conversion — DOE EECBG,2026-05-29,ComplianceFiled,Active,Active,6,Davis-Bacon Act Wage Compliance filed,Sustainability Coordinator,,compliance-record
evt-0011,northwood-smc-2024,Northwood Stormwater Improvement — SMC SIIP,2026-05-30,ComplianceFiled,Active,Active,6,Davis-Bacon Act Wage Compliance filed,Deputy Village Manager,,compliance-record
